timestamp,api_id,env,response_time,error,status_code,latency_ms,bytes_transferred,hour_of_day,request_id,trace_id,span_id,simulated_cpu_cost,simulated_memory_mb
2025-04-01T20:03:36.790909,OrderProcessor,production-useast1,68.56,0,200,12.24,2177,20,1394f460-0d50-42a0-bcaa-86d36bec1039,56518381019cd3f61c5b8ae57e763a03,03577db523b2d5c2,13.26,24.67
2025-04-01T20:03:36.865597,AuthService,production-useast1,62.45,0,200,6.06,376,20,1394f460-0d50-42a0-bcaa-86d36bec1039,56518381019cd3f61c5b8ae57e763a03,03577db523b2d5c2,4.06,8.37
2025-04-01T20:03:36.935783,ProductCatalog,production-useast1,49.07,0,200,8.61,11047,20,1394f460-0d50-42a0-bcaa-86d36bec1039,56518381019cd3f61c5b8ae57e763a03,03577db523b2d5c2,10.06,20.63
2025-04-01T20:03:36.989448,PaymentGateway,production-useast1,51.19,0,200,11.14,1301,20,1394f460-0d50-42a0-bcaa-86d36bec1039,56518381019cd3f61c5b8ae57e763a03,03577db523b2d5c2,12.28,14.67
2025-04-01T20:03:37.795687,OrderProcessor,staging,57.59,0,200,11.08,1923,20,fa682c12-9066-484d-b6b4-13b0a94aa5f9,01ca4efb6b1f1efc525214695a13ab59,e288e15a2e481086,14.29,24.57
2025-04-01T20:03:37.865258,AuthService,staging,60.41,0,200,4.45,701,20,fa682c12-9066-484d-b6b4-13b0a94aa5f9,01ca4efb6b1f1efc525214695a13ab59,e288e15a2e481086,4.34,8.63
2025-04-01T20:03:37.932313,ProductCatalog,staging,83.9,0,200,17.76,10015,20,fa682c12-9066-484d-b6b4-13b0a94aa5f9,01ca4efb6b1f1efc525214695a13ab59,e288e15a2e481086,9.19,21.84
2025-04-01T20:03:38.025772,PaymentGateway,staging,68.61,0,200,17.46,946,20,fa682c12-9066-484d-b6b4-13b0a94aa5f9,01ca4efb6b1f1efc525214695a13ab59,e288e15a2e481086,11.88,14.51
2025-04-01T20:03:38.799937,OrderProcessor,production-useast1,47.64,0,200,6.77,1682,20,f3246288-d5fe-4304-9f31-731bb6755006,61bff09e701571cede6e15bac07b454e,759fd13ec4d2840f,12.77,23.9
2025-04-01T20:03:38.856561,AuthService,production-useast1,61.88,0,200,3.3,544,20,f3246288-d5fe-4304-9f31-731bb6755006,61bff09e701571cede6e15bac07b454e,759fd13ec4d2840f,3.65,7.97
